"ppn","school","class","nom_like","SUS_1","SUS_2","SUS_3","SUS_4","SUS_5","SUS_6","SUS_7","SUS_8","group","cond_name","X1_SELF_2easy40","X1_SELF_6easy40","X1_SELF_10easy40","X1_SELF_2hard90","X1_SELF_6hard90","X1_SELF_10hard90","X1_CLIMATE_2easy40","X1_CLIMATE_6easy40","X1_CLIMATE_10easy40","X1_CLIMATE_2hard90","X1_CLIMATE_6hard90","X1_CLIMATE_10hard90","X1_OTHERS_2easy40","X1_OTHERS_6easy40","X1_OTHERS_10easy40","X1_OTHERS_2hard90","X1_OTHERS_6hard90","X1_OTHERS_10hard90","X2_SELF_2easy40","X2_SELF_6easy40","X2_SELF_10easy40","X2_SELF_2hard90","X2_SELF_6hard90","X2_SELF_10hard90","X2_CLIMATE_2easy40","X2_CLIMATE_6easy40","X2_CLIMATE_10easy40","X2_CLIMATE_2hard90","X2_CLIMATE_6hard90","X2_CLIMATE_10hard90","X2_OTHERS_2easy40","X2_OTHERS_6easy40","X2_OTHERS_10easy40","X2_OTHERS_2hard90","X2_OTHERS_6hard90","X2_OTHERS_10hard90","SUS_social_anxiety","SUS_peers_self_esteem","SUS_total","SUS_total_c"
"128","2","3","121,134,135,136",3,3,4,4,4,5,5,3,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,3.75,3.875,1.32674050632911
"132","2","3","115,126,127",2,3,5,4,5,3,5,4,"high_norm","pos_social_norm",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4.25,3.5,3.875,1.32674050632911
"133","2","3","117,122,123,127,129",3,4,4,5,4,5,4,4,"low_norm","neg_social_norm",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3.75,4.5,4.125,1.57674050632911
"134","2","3","119,124,131,136",3,3,4,3,4,3,3,3,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5,3,3.25,0.701740506329114
"137","2","4","142,147,153,154",2,3,2,3,2,1,2,1,"control","control",1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,-0.548259493670886
"140","2","4","141,145",2,4,2,4,2,4,4,3,"control","control",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,3.75,3.125,0.576740506329114
"141","2","4","138,142,143,145,150",2,4,1,3,1,2,1,2,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,2.75,2,-0.548259493670886
"142","2","4","137,143,152,153,154",2,2,3,4,4,3,4,3,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.25,3,3.125,0.576740506329114
"144","2","4",NA,3,2,1,4,2,2,4,2,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,2.5,2.5,-0.0482594936708862
"147","2","4","137,154",3,2,3,2,4,5,3,4,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.25,3.25,3.25,0.701740506329114
"151","2","4","138,140,141,143,149",NA,NA,NA,NA,NA,NA,NA,NA,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"153","2","4","137,150",3,3,3,3,3,3,3,1,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2.5,2.75,0.201740506329114
"154","2","4","137,147",2,3,2,3,2,4,3,2,"low_norm","neg_social_norm",1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2.25,3,2.625,0.0767405063291138
"159","2","5","156,162,167,169,183",2,3,2,4,3,1,2,2,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.25,2.5,2.375,-0.173259493670886
"162","2","5","162,169",1,1,1,1,1,1,2,1,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1,1.125,-1.42325949367089
"165","2","5","178",1,1,1,1,1,1,1,1,"control","control",1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,-1.54825949367089
"167","2","5","159,165,170,177,178",3,4,3,4,2,2,3,1,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.75,2.75,2.75,0.201740506329114
"169","2","5","156,159,162,175",1,1,2,2,4,3,2,3,"control","control",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.25,2.25,2.25,-0.298259493670886
"170","2","5","158,164,167,177,178",3,4,3,4,3,2,2,2,"high_norm","pos_social_norm",1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.75,3,2.875,0.326740506329114
"172","2","5","161,176,179",3,4,3,5,3,3,4,3,"control","control",1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.25,3.75,3.5,0.951740506329114
"173","2","5","163,166,180",3,3,2,3,3,3,3,3,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.75,3,2.875,0.326740506329114
"174","2","5","162,166,169,175,182",2,3,2,4,2,2,2,1,"control","control",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.5,2.25,-0.298259493670886
